USER         PID %CPU %MEM    VSZ   RSS TTY      STAT START   TIME COMMAND
root          77  0.0  0.0      0     0 ?        S    22:34   0:00 [irq/26-pciehp]
root          78  0.0  0.0      0     0 ?        S    22:34   0:00 [irq/27-pciehp]
root          79  0.0  0.0      0     0 ?        S    22:34   0:00 [irq/28-pciehp]
root          80  0.0  0.0      0     0 ?        S    22:34   0:00 [irq/29-pciehp]
root          81  0.0  0.0      0     0 ?        S    22:34   0:00 [irq/30-pciehp]
root          82  0.0  0.0      0     0 ?        S    22:34   0:00 [irq/31-pciehp]
root          83  0.0  0.0      0     0 ?        S    22:34   0:00 [irq/32-pciehp]
root          84  0.0  0.0      0     0 ?        S    22:34   0:00 [irq/33-pciehp]
root          85  0.0  0.0      0     0 ?        S    22:34   0:00 [irq/34-pciehp]
root          86  0.0  0.0      0     0 ?        S    22:34   0:00 [irq/35-pciehp]
root          87  0.0  0.0      0     0 ?        S    22:34   0:00 [irq/36-pciehp]
root          88  0.0  0.0      0     0 ?        S    22:34   0:00 [irq/37-pciehp]
root          89  0.0  0.0      0     0 ?        S    22:34   0:00 [irq/38-pciehp]
root          90  0.0  0.0      0     0 ?        S    22:34   0:00 [irq/39-pciehp]
root          91  0.0  0.0      0     0 ?        S    22:34   0:00 [irq/40-pciehp]
root          92  0.0  0.0      0     0 ?        S    22:34   0:00 [irq/41-pciehp]
root          93  0.0  0.0      0     0 ?        S    22:34   0:00 [irq/42-pciehp]
root          94  0.0  0.0      0     0 ?        S    22:34   0:00 [irq/43-pciehp]
root          95  0.0  0.0      0     0 ?        S    22:34   0:00 [irq/44-pciehp]
root          96  0.0  0.0      0     0 ?        S    22:34   0:00 [irq/45-pciehp]
root          97  0.0  0.0      0     0 ?        S    22:34   0:00 [irq/46-pciehp]
root          98  0.0  0.0      0     0 ?        S    22:34   0:00 [irq/47-pciehp]
root          99  0.0  0.0      0     0 ?        S    22:34   0:00 [irq/48-pciehp]
root         100  0.0  0.0      0     0 ?        S    22:34   0:00 [irq/49-pciehp]
root         101  0.0  0.0      0     0 ?        S    22:34   0:00 [irq/50-pciehp]
root         102  0.0  0.0      0     0 ?        S    22:34   0:00 [irq/51-pciehp]
root         103  0.0  0.0      0     0 ?        S    22:34   0:00 [irq/52-pciehp]
root         104  0.0  0.0      0     0 ?        S    22:34   0:00 [irq/53-pciehp]
root         105  0.0  0.0      0     0 ?        S    22:34   0:00 [irq/54-pciehp]
root         106  0.0  0.0      0     0 ?        S    22:34   0:00 [irq/55-pciehp]
root         107  0.0  0.0      0     0 ?        I<   22:34   0:00 [kworker/R-acpi_thermal_pm]
root         108  0.0  0.0      0     0 ?        S    22:34   0:00 [scsi_eh_0]
root         109  0.0  0.0      0     0 ?        I<   22:34   0:00 [kworker/R-scsi_tmf_0]
root         110  0.0  0.0      0     0 ?        S    22:34   0:00 [scsi_eh_1]
root         111  0.0  0.0      0     0 ?        I<   22:34   0:00 [kworker/R-scsi_tmf_1]
root         113  0.0  0.0      0     0 ?        I    22:34   0:00 [kworker/u513:4-ext4-rsv-conversion]
root         114  0.0  0.0      0     0 ?        I<   22:34   0:00 [kworker/R-mld]
root         115  0.0  0.0      0     0 ?        I<   22:34   0:00 [kworker/R-ipv6_addrconf]
root         125  0.0  0.0      0     0 ?        I<   22:34   0:00 [kworker/R-kstrp]
root         127  0.0  0.0      0     0 ?        I<   22:34   0:00 [kworker/u515:0]
root         128  0.0  0.0      0     0 ?        I<   22:34   0:00 [kworker/u516:0-ttm]
root         143  0.0  0.0      0     0 ?        I<   22:34   0:00 [kworker/R-charger_manager]
root         213  0.0  0.0      0     0 ?        I<   22:34   0:00 [kworker/R-mpt_poll_0]
root         214  0.0  0.0      0     0 ?        I<   22:34   0:00 [kworker/R-mpt/0]
root         217  0.0  0.0      0     0 ?        S    22:34   0:00 [scsi_eh_2]
root         218  0.0  0.0      0     0 ?        I<   22:34   0:00 [kworker/R-scsi_tmf_2]
root         219  0.0  0.0      0     0 ?        S    22:34   0:00 [scsi_eh_3]
root         220  0.0  0.0      0     0 ?        I<   22:34   0:00 [kworker/R-scsi_tmf_3]
root         222  0.0  0.0      0     0 ?        S    22:34   0:00 [scsi_eh_4]
root         223  0.0  0.0      0     0 ?        I<   22:34   0:00 [kworker/R-scsi_tmf_4]
root         225  0.0  0.0      0     0 ?        S    22:34   0:00 [scsi_eh_5]
root         226  0.0  0.0      0     0 ?        I<   22:34   0:00 [kworker/R-scsi_tmf_5]
root         232  0.0  0.0      0     0 ?        S    22:34   0:00 [scsi_eh_6]
root         233  0.0  0.0      0     0 ?        I<   22:34   0:00 [kworker/R-scsi_tmf_6]
root         234  0.0  0.0      0     0 ?        S    22:34   0:00 [scsi_eh_7]
root         235  0.0  0.0      0     0 ?        I<   22:34   0:00 [kworker/R-scsi_tmf_7]
root         236  0.0  0.0      0     0 ?        S    22:34   0:00 [scsi_eh_8]
root         237  0.0  0.0      0     0 ?        I<   22:34   0:00 [kworker/R-scsi_tmf_8]
root         238  0.0  0.0      0     0 ?        S    22:34   0:00 [scsi_eh_9]
root         239  0.0  0.0      0     0 ?        I<   22:34   0:00 [kworker/R-scsi_tmf_9]
root         240  0.0  0.0      0     0 ?        S    22:34   0:00 [scsi_eh_10]
root         241  0.0  0.0      0     0 ?        I<   22:34   0:00 [kworker/R-scsi_tmf_10]
root         242  0.0  0.0      0     0 ?        S    22:34   0:00 [scsi_eh_11]
root         243  0.0  0.0      0     0 ?        I<   22:34   0:00 [kworker/R-scsi_tmf_11]
root         244  0.0  0.0      0     0 ?        S    22:34   0:00 [scsi_eh_12]
root         245  0.0  0.0      0     0 ?        I<   22:34   0:00 [kworker/R-scsi_tmf_12]
root         246  0.0  0.0      0     0 ?        S    22:34   0:00 [scsi_eh_13]
root         247  0.0  0.0      0     0 ?        I<   22:34   0:00 [kworker/R-scsi_tmf_13]
root         248  0.0  0.0      0     0 ?        S    22:34   0:00 [scsi_eh_14]
root         249  0.0  0.0      0     0 ?        I<   22:34   0:00 [kworker/R-scsi_tmf_14]
root         250  0.0  0.0      0     0 ?        S    22:34   0:00 [scsi_eh_15]
root         251  0.0  0.0      0     0 ?        I<   22:34   0:00 [kworker/R-scsi_tmf_15]
root         252  0.0  0.0      0     0 ?        S    22:34   0:00 [scsi_eh_16]
root         253  0.0  0.0      0     0 ?        I<   22:34   0:00 [kworker/R-scsi_tmf_16]
root         254  0.0  0.0      0     0 ?        S    22:34   0:00 [scsi_eh_17]
root         255  0.0  0.0      0     0 ?        I<   22:34   0:00 [kworker/R-scsi_tmf_17]
root         256  0.0  0.0      0     0 ?        S    22:34   0:00 [scsi_eh_18]
root         257  0.0  0.0      0     0 ?        I<   22:34   0:00 [kworker/R-scsi_tmf_18]
root         258  0.0  0.0      0     0 ?        S    22:34   0:00 [scsi_eh_19]
root         259  0.0  0.0      0     0 ?        I<   22:34   0:00 [kworker/R-scsi_tmf_19]
root         260  0.0  0.0      0     0 ?        S    22:34   0:00 [scsi_eh_20]
root         261  0.0  0.0      0     0 ?        I<   22:34   0:00 [kworker/R-scsi_tmf_20]
root         262  0.0  0.0      0     0 ?        S    22:34   0:00 [scsi_eh_21]
root         263  0.0  0.0      0     0 ?        I<   22:34   0:00 [kworker/R-scsi_tmf_21]
root         264  0.0  0.0      0     0 ?        S    22:34   0:00 [scsi_eh_22]
root         265  0.0  0.0      0     0 ?        I<   22:34   0:00 [kworker/R-scsi_tmf_22]
root         266  0.0  0.0      0     0 ?        S    22:34   0:00 [scsi_eh_23]
root         267  0.0  0.0      0     0 ?        I<   22:34   0:00 [kworker/R-scsi_tmf_23]
root         268  0.0  0.0      0     0 ?        S    22:34   0:00 [scsi_eh_24]
root         269  0.0  0.0      0     0 ?        I<   22:34   0:00 [kworker/R-scsi_tmf_24]
root         270  0.0  0.0      0     0 ?        S    22:34   0:00 [scsi_eh_25]
root         271  0.0  0.0      0     0 ?        I<   22:34   0:00 [kworker/R-scsi_tmf_25]
root         272  0.0  0.0      0     0 ?        S    22:34   0:00 [scsi_eh_26]
root         273  0.0  0.0      0     0 ?        I<   22:34   0:00 [kworker/R-scsi_tmf_26]
root         274  0.0  0.0      0     0 ?        S    22:34   0:00 [scsi_eh_27]
root         275  0.0  0.0      0     0 ?        I<   22:34   0:00 [kworker/R-scsi_tmf_27]
root         276  0.0  0.0      0     0 ?        S    22:34   0:00 [scsi_eh_28]
root         277  0.0  0.0      0     0 ?        I<   22:34   0:00 [kworker/R-scsi_tmf_28]
root         278  0.0  0.0      0     0 ?        S    22:34   0:00 [scsi_eh_29]
root         279  0.0  0.0      0     0 ?        I<   22:34   0:00 [kworker/R-scsi_tmf_29]
root         280  0.0  0.0      0     0 ?        S    22:34   0:00 [scsi_eh_30]
root         281  0.0  0.0      0     0 ?        I<   22:34   0:00 [kworker/R-scsi_tmf_30]
root         282  0.0  0.0      0     0 ?        S    22:34   0:00 [scsi_eh_31]
root         283  0.0  0.0      0     0 ?        I<   22:34   0:00 [kworker/R-scsi_tmf_31]
root         297  0.0  0.0      0     0 ?        S    22:34   0:00 [scsi_eh_32]
root         302  0.0  0.0      0     0 ?        I<   22:34   0:00 [kworker/R-scsi_tmf_32]
root         309  0.0  0.0      0     0 ?        I    22:34   0:00 [kworker/u514:26-flush-8:0]
root         311  0.0  0.0      0     0 ?        I    22:34   0:00 [kworker/u514:28-flush-8:0]
root         312  0.0  0.0      0     0 ?        I    22:34   0:01 [kworker/u514:29-kvfree_rcu_reclaim]
root         319  0.0  0.0      0     0 ?        I<   22:34   0:00 [kworker/1:2H-kblockd]
root         356  0.0  0.0      0     0 ?        S    22:34   0:01 [jbd2/sda2-8]
root         357  0.0  0.0      0     0 ?        I<   22:34   0:00 [kworker/R-ext4-rsv-conversion]
root         408  0.0  0.2  67288  8512 ?        S<s  22:34   0:00 /usr/lib/systemd/systemd-journald
root         433  0.0  0.0      0     0 ?        I    22:34   0:01 [kworker/0:2-events]
root         446  0.0  0.0 152476   112 ?        Ssl  22:34   0:00 vmware-vmblock-fuse /run/vmblock-fuse -o rw,subtype=vmware-vmblock,default_permissions,allow_other,dev,suid
root         454  0.0  0.0      0     0 ?        S    22:34   0:00 [irq/16-vmwgfx]
root         455  0.0  0.0      0     0 ?        I<   22:34   0:00 [kworker/R-ttm]
root         468  0.0  0.0  31984  1208 ?        Ss   22:34   0:00 /usr/lib/systemd/systemd-udevd
root         510  0.0  0.0      0     0 ?        S    22:34   0:00 [psimon]
root         689  0.0  0.0      0     0 ?        S    22:34   0:00 [irq/57-vmw_vmci]
root         690  0.0  0.0      0     0 ?        S    22:34   0:00 [irq/58-vmw_vmci]
